"","X","Report.Number","Agency.Name","Crash.Date.Time","Route.Type","Road.Name","Municipality","Weather","Surface.Condition","Light","Traffic.Control","Driver.Substance.Abuse","Collision.Type","Driver.Distracted.By","Vehicle.ID","Vehicle.Damage.Extent","Vehicle.Body.Type","Vehicle.Model","Vehicle.Movement","Speed.Limit","Parked.Vehicle","Equipment.Problems","Location","class"
"1",0,191,2,293,2,134,14,0,0,3,4,5,9,7,524,0,14,19,18,8,0,1,123,"0"
"2",1,432,1,336,0,77,14,0,0,4,4,5,15,7,235,2,14,7,5,7,0,1,74,"1"
"3",2,295,0,324,2,22,8,0,0,1,4,5,9,5,558,5,14,55,15,5,0,1,486,"0"
"4",3,67,2,335,2,1,14,0,0,1,3,1,7,9,47,5,14,81,1,5,0,1,205,"0"
"5",4,67,2,335,2,1,14,0,0,1,3,5,7,7,500,5,17,59,10,5,1,1,205,"0"
"6",5,417,1,387,1,124,8,1,4,4,4,5,4,7,724,1,14,79,5,7,0,1,478,"2"
"7",6,449,1,330,1,124,8,0,0,4,4,5,9,7,22,2,14,25,18,7,0,1,471,"0"
"8",7,295,0,324,2,22,8,0,0,1,4,5,9,7,370,5,14,19,18,5,0,1,486,"0"
"9",8,338,0,289,1,38,8,0,0,4,1,5,4,7,310,2,14,25,8,7,0,1,535,"0"
"10",9,445,1,281,2,97,8,0,0,4,1,5,9,7,379,5,8,225,10,2,1,1,270,"0"
"11",10,192,2,291,1,100,14,1,0,4,1,5,6,7,403,1,14,184,8,8,0,1,176,"1"
"12",11,192,2,291,1,100,14,1,0,4,1,5,6,7,311,2,14,19,7,8,0,1,176,"0"
"13",12,140,2,295,1,100,14,2,4,4,4,5,7,7,622,5,14,13,16,5,0,1,233,"0"
"14",13,445,1,281,2,97,8,0,0,4,1,5,9,6,29,2,14,177,12,2,0,1,270,"0"
"15",14,617,1,287,1,38,8,0,0,4,1,5,15,7,211,3,14,169,6,6,0,1,519,"0"
"16",15,338,0,289,1,38,8,0,0,4,1,5,4,6,662,1,14,25,5,7,0,1,535,"0"
"17",16,139,2,292,2,101,14,0,0,4,1,5,14,7,623,1,14,208,6,5,0,1,85,"0"
"18",17,15,2,483,2,21,14,0,0,4,4,5,9,7,187,2,14,199,15,5,0,1,272,"0"
"19",18,557,1,463,2,58,2,1,0,4,1,5,13,7,475,5,14,108,8,5,0,1,19,"0"
"20",19,624,1,479,3,19,14,0,0,4,5,5,15,7,528,1,14,229,8,5,0,1,366,"0"
"21",20,250,0,474,1,38,8,0,0,4,1,5,9,7,775,5,14,55,18,7,0,1,590,"0"
"22",21,30,2,477,1,50,14,0,0,4,1,5,9,8,637,5,14,53,15,7,0,1,262,"0"
"23",22,8,2,473,2,65,14,0,0,4,3,5,7,7,416,3,13,207,6,6,0,1,186,"0"
"24",23,30,2,477,1,50,14,0,0,4,1,5,9,7,86,5,0,139,15,7,0,1,262,"0"
"25",24,606,1,225,1,24,14,0,0,4,4,5,7,7,106,5,3,27,18,6,0,1,224,"0"
"26",25,507,1,487,1,90,16,0,0,4,1,5,15,7,221,2,14,51,5,5,0,1,43,"2"
"27",26,507,1,487,1,90,16,0,0,4,1,5,15,7,446,2,8,112,8,6,0,1,43,"0"
"28",27,250,0,474,1,38,8,0,0,4,1,5,9,7,42,2,14,105,18,7,0,1,590,"0"
"29",28,80,2,218,1,121,14,2,4,2,1,5,15,7,176,2,14,207,18,7,0,1,190,"0"
"30",29,624,1,479,3,19,14,0,0,4,5,5,15,7,189,2,14,51,8,5,0,1,366,"0"
"31",30,226,3,478,1,12,16,0,0,1,1,0,14,5,388,1,14,235,0,5,0,1,24,"0"
"32",31,628,1,216,1,93,8,2,4,4,4,5,4,7,853,2,14,25,8,7,0,1,522,"0"
"33",32,554,1,153,2,87,14,0,0,4,4,5,1,6,532,2,20,35,0,5,0,1,259,"0"
"34",33,34,2,417,2,134,14,0,0,4,1,5,13,7,568,2,14,19,0,8,0,1,155,"0"
"35",34,82,2,423,2,25,14,0,0,4,4,5,15,9,529,2,14,79,5,6,0,1,250,"0"
"36",35,6,2,343,2,17,14,2,4,4,3,5,15,6,278,1,14,101,4,1,0,1,106,"2"
"37",36,275,0,328,1,76,8,0,0,4,4,5,9,7,520,1,14,207,18,7,0,1,578,"0"
"38",37,591,1,342,1,18,10,0,0,4,4,5,15,6,789,1,0,172,8,8,0,1,65,"1"
"39",38,524,1,416,1,127,14,0,0,4,4,5,4,7,418,1,14,192,16,8,0,1,331,"1"
"40",39,260,0,219,3,4,8,0,0,4,1,5,9,6,510,1,14,13,8,5,0,1,415,"0"
"41",40,319,0,327,1,93,8,0,0,4,3,5,15,6,166,1,14,81,0,7,0,1,421,"0"
"42",41,323,0,214,2,103,8,2,4,1,1,5,9,7,294,3,12,35,15,5,0,1,566,"0"
"43",42,5,2,419,1,38,14,0,0,4,1,5,7,7,792,1,14,15,8,8,0,1,358,"1"
"44",43,253,0,422,1,38,8,0,0,4,4,5,4,7,612,1,14,161,5,6,0,1,499,"0"
"45",44,324,0,331,1,93,8,1,0,4,4,5,9,7,338,1,14,163,15,7,0,1,463,"0"
"46",45,369,1,415,1,16,8,0,0,4,4,5,4,7,682,1,14,15,8,7,0,1,495,"0"
"47",46,83,2,356,2,23,14,0,0,4,4,5,7,7,666,2,14,207,15,6,0,1,304,"0"
"48",47,275,0,328,1,76,8,0,0,4,4,5,9,7,419,2,14,207,18,7,0,1,578,"0"
"49",48,6,2,343,2,17,14,2,4,4,3,5,15,7,870,1,14,85,8,6,0,1,106,"2"
"50",49,597,1,344,0,24,14,2,4,4,1,5,7,7,138,2,14,19,11,5,0,1,108,"0"
"51",50,512,1,412,0,78,8,0,0,4,4,5,15,7,79,1,14,19,5,9,0,1,430,"2"
"52",51,325,0,332,2,9,8,1,4,4,3,5,9,7,282,5,19,199,18,7,0,1,503,"1"
"53",52,325,0,332,2,9,8,1,4,4,3,5,9,6,883,5,14,55,15,7,0,1,503,"0"
"54",53,591,1,342,1,18,10,0,0,4,4,5,15,7,80,1,0,169,8,8,0,1,65,"1"
"55",54,522,1,212,1,133,6,0,0,4,1,5,9,7,20,1,14,207,15,7,0,1,6,"0"
"56",55,422,1,320,1,84,14,0,0,5,0,5,3,7,683,1,5,95,18,8,0,1,281,"0"
"57",56,83,2,356,2,23,14,0,0,4,4,5,7,7,763,1,14,202,15,8,0,2,304,"0"
"58",57,82,2,423,2,25,14,0,0,4,4,5,15,7,492,2,14,81,8,6,0,1,250,"0"
"59",58,369,1,415,1,16,8,0,0,4,4,5,4,7,618,1,14,19,5,7,0,1,495,"1"
"60",59,596,1,345,2,79,14,2,4,4,1,5,9,7,320,2,18,35,8,5,0,1,84,"0"
