"","X","Report.Number","Agency.Name","Crash.Date.Time","Route.Type","Road.Name","Municipality","Weather","Surface.Condition","Light","Traffic.Control","Driver.Substance.Abuse","Collision.Type","Driver.Distracted.By","Vehicle.ID","Vehicle.Damage.Extent","Vehicle.Body.Type","Vehicle.Model","Vehicle.Movement","Speed.Limit","Parked.Vehicle","Equipment.Problems","Location","class"
"1",0,191,2,293,2,134,14,0,0,3,4,5,9,7,524,0,14,19,18,8,0,1,123,"0"
"3",2,295,0,324,2,22,8,0,0,1,4,5,9,5,558,5,14,55,15,5,0,1,486,"0"
"5",4,67,2,335,2,1,14,0,0,1,3,5,7,7,500,5,17,59,10,5,1,1,205,"0"
"9",8,338,0,289,1,38,8,0,0,4,1,5,4,7,310,2,14,25,8,7,0,1,535,"0"
"18",17,15,2,483,2,21,14,0,0,4,4,5,9,7,187,2,14,199,15,5,0,1,272,"0"
"20",19,624,1,479,3,19,14,0,0,4,5,5,15,7,528,1,14,229,8,5,0,1,366,"0"
"29",28,80,2,218,1,121,14,2,4,2,1,5,15,7,176,2,14,207,18,7,0,1,190,"0"
"30",29,624,1,479,3,19,14,0,0,4,5,5,15,7,189,2,14,51,8,5,0,1,366,"0"
"33",32,554,1,153,2,87,14,0,0,4,4,5,1,6,532,2,20,35,0,5,0,1,259,"0"
"35",34,82,2,423,2,25,14,0,0,4,4,5,15,9,529,2,14,79,5,6,0,1,250,"0"
"41",40,319,0,327,1,93,8,0,0,4,3,5,15,6,166,1,14,81,0,7,0,1,421,"0"
"44",43,253,0,422,1,38,8,0,0,4,4,5,4,7,612,1,14,161,5,6,0,1,499,"0"
"46",45,369,1,415,1,16,8,0,0,4,4,5,4,7,682,1,14,15,8,7,0,1,495,"0"
"47",46,83,2,356,2,23,14,0,0,4,4,5,7,7,666,2,14,207,15,6,0,1,304,"0"
"49",48,6,2,343,2,17,14,2,4,4,3,5,15,7,870,1,14,85,8,6,0,1,106,"2"
"63",62,253,0,422,1,38,8,0,0,4,4,5,4,5,62,1,14,43,8,6,0,1,499,"0"
"64",63,422,1,320,1,84,14,0,0,5,0,5,3,7,454,0,15,93,14,10,0,1,281,"0"
